Sr. No.,OD,Count,Corrected OD,Zone No,Match Status
1848,Virat Cinema,1,Nill,-,Unmatched
1849,Gurudwara Rakabganj Road,1,Nill,-,Unmatched
1850,Kalika Mandir,1,Nill,-,Unmatched
1851,Khanpur Devli,1,Khanpur,26,Alias Match
1852,Jal Vihar Terminal,1,Nill,-,Unmatched
1853,Pilan Ji,1,Nill,-,Unmatched
1854,Tikdi Jj Colony,1,INA Colony,213,AI Match (75%)
1855,Alli Pur Market,1,Nill,-,Unmatched
1856,Igi Airport Terminal 1,1,Nill,-,Unmatched
1857,"Dhola Kuaa, Narayana",1,Nill,-,Unmatched
1858,Dhola Nagar Narayna,1,Nill,-,Unmatched
1859,Nilauti Gao,1,Nill,-,Unmatched
1860,Alakhnanda Apartment,1,Nill,-,Unmatched
1861,Ratiya Marg Road Sangam Vihar,1,Sangam Vihar,292,Alias Match
1862,Sangam Viahr,1,Sangam Vihar,292,AI Match (91%)
1863,Sainik Park,1,Sawan Park,98,AI Match (76%)
1864,Noida 62,1,Noida 62,Outside,Outside Delhi
1865,Ajaad Pur,1,Nill,-,Unmatched
1866,Azad Pur,1,Nill,-,Unmatched
1867,Dwarikapuri,1,Nill,-,Unmatched
1868,Kalikaji Mandir Metro Station,1,Nill,-,Unmatched
1869,Kalika Ji,1,Nill,-,Unmatched
1870,Tigdi Tigdi,1,Tigri,25,AI Match (80%)
1871,Badli,1,Samaypur Badli,40,Sub-Ward Match
1872,Ghara Village,1,Khanpur Village,26,AI Match (78%)
1873,Bahadurpur Border(T),1,Badarpur Border,283,AI Match (82%)
1874,Madangiri Thank You,1,Madangir,21,Sub-Ward Match
1875,Hans Nagar,1,Sant Nagar (East of Kailash),10,AI Match (80%)
1876,Krish Kunj,1,Kishan Kunj,193,AI Match (85%)
1877,Karauli Gaon,1,Nill,-,Unmatched
1878,Pvr3 Firoz Gandhi Road Lajpat Nagar,1,Lajpat Nagar,6,Alias Match
1879,Madangir Ultimate,1,Madangir,18,Alias Match
1880,Sadar,1,Shahdara,135,AI Match (76%)
1881,Dhula Kuan,1,Dhaula Kuan,215,AI Match (95%)
1882,Apollo Spectra Hospital Nehru Place,1,Nehru Place,13,Alias Match
1883,Rk Puram Sec3,1,R.K. Puram,216,Alias Match
1884,Khanpur T Point,1,Khanpur,26,Alias Match
1885,Anand Vihar Patparganj,1,Anand Vihar,151,Alias Match
1886,Kitvai Nagar,1,Kirti Nagar,160,AI Match (86%)
1887,Madagate,1,Nill,-,Unmatched
1888,"Dlf Cyber City, Gurugram",1,Dlf Cyber City Gurugram,Outside,Outside Delhi
1889,Jairam Ashram,1,Ashram Chowk,14,Alias Match
1890,Eros Hotel Nehru Place,1,Nehru Place,13,Alias Match
1891,Loni Gaziyabad,1,Nill,-,Unmatched
1892,Raj Nagar,1,Raj Nagar,262,Exact Ward Match
1893,Raju Parakh Kanpur,1,Nill,-,Unmatched
1894,Sadh Nagar,1,Sadh Nagar,248,Exact Ward Match
1895,Nawada,1,Nawada,216,Exact Ward Match
1896,Ramesh Nagar,1,Ram Nagar,174,AI Match (85%)
1897,Aps Colony,1,INA Colony,213,AI Match (80%)
1898,Khanpur Pande Ji Pande Crop,1,Khanpur,26,Alias Match
1899,Sangram Vhiar,1,Sangam Vihar,292,AI Match (88%)
1900,Iit Hostel,1,IIT Delhi,8,Alias Match
1901,Saraswatipuram,1,Nill,-,Unmatched
1902,Meyur Vihar,1,Mayur Vihar,234,AI Match (90%)
1903,Chhatarpur Extension,1,Chhatarpur,282,Alias Match
1904,Karnal Bypass,1,Nill,-,Unmatched
1905,Sangam Nagar,1,Sant Nagar (East of Kailash),10,AI Match (81%)
1906,Delhi Chiraf,1,Chirag Delhi,14,AI Match (91%)
1907,Greater Kailashpur,1,Greater Kailash,9,AI Match (90%)
1908,Ratiya Maar Sangam Vihar Delhi,1,Sangam Vihar,292,Sub-Ward Match
1909,Soniya Vihar,1,Sonia Vihar,46,AI Match (95%)
1910,Madan Giri Khanpur,1,Khanpur,26,Alias Match
1911,Qutub Vihar,1,Mehrauli (Qutub Minar),278,AI Match (81%)
1912,Pargati Vihar,1,Pratap Vihar,106,AI Match (80%)
1913,Nasirpur,1,Wajirpur,108,AI Match (75%)
1914,Sangram Vihar,1,Sangam Vihar,292,AI Match (96%)
1915,Milineon City Metro Station,1,Nill,-,Unmatched
1916,Sanskrit Vedhyapeet,1,Nill,-,Unmatched
1917,Matiala,1,Matiala,252,Exact Ward Match
1918,Gharhi,1,Peragharhi,125,Sub-Ward Match
1919,Police Colony,1,INA Colony,213,AI Match (75%)
1920,Vijay Nagar Gajiyabad,1,Nill,-,Unmatched
1921,Dhakshinpuri,1,Dakshinpuri,18,AI Match (95%)
1922,Prabhu Gausala Tejpur,1,Nill,-,Unmatched
1923,Arjun Nagar,1,Sarojini Nagar,213,AI Match (80%)
1924,Neharu Palace,1,Nehru Place,13,AI Match (91%)
1925,Sangamon Vihar,1,Sangam Vihar,292,AI Match (92%)
1926,Huda City Centre Millennium City Gurugram,1,Huda City Centre Millennium City Gurugram,Outside,Outside Delhi
1927,Cannought Place,1,Connaught Place,211,AI Match (86%)
1928,Pvr-3Cs Lajpat Nagar,1,Lajpat Nagar,6,Alias Match
1929,Indrapuram Gajiyabad,1,Nill,-,Unmatched
1930,Govind Nagar,1,Vinod Nagar,208,AI Match (86%)
1931,Subroto Park,1,Nill,-,Unmatched
1932,Deer Park Huaz Khas,1,Nill,-,Unmatched
1933,Inderpuri Khrishi Kunj,1,Nill,-,Unmatched
1934,Rajorighrgn,1,Nill,-,Unmatched
1935,Sikanderganj Terminal,1,Nill,-,Unmatched
1936,Huaz Khas Village Park,1,Hauz Khas Village,8,AI Match (82%)
1937,Hotel Pink City,1,Nill,-,Unmatched
1938,Indrapuri Krishi Kunj South Delhi,1,South Extension,12,AI Match (76%)
1939,Dwarka Anand Vihar,1,Dwarka,246,Alias Match
1940,Noor Vihar,1,Nehru Vihar,64,AI Match (76%)
1941,Mcd,1,Nill,-,Unmatched
1942,Kewal Park Mcd Flats,1,Nill,-,Unmatched
1943,Mohani Nivas,1,Nill,-,Unmatched
1944,Dwarka More Metro Station (Terminal),1,Dwarka,246,Alias Match
1945,Naheru Stadium,1,Nill,-,Unmatched
1946,Natinal Park,1,National Park (Lajpat Nagar),6,AI Match (96%)
1947,South Extensions,1,South Extension,12,AI Match (96%)
1948,Syed Gaon Nanglo (T),1,Nill,-,Unmatched
1949,Sector 4/5 Virat Cinema,1,Nill,-,Unmatched
1950,Motibaag,1,Moti Bagh,217,AI Match (87%)
1951,Pnb Geetanjali,1,Nill,-,Unmatched
1952,Holy Family,1,Nill,-,Unmatched
1953,Gaizibaad,1,Nill,-,Unmatched
1954,A Block Dilsad Garden,1,Nill,-,Unmatched
1955,Noida Sec -62,1,Noida Sec 62,Outside,Outside Delhi
1956,A Block Dilshad Garden,1,Dilshad Garden,236,Alias Match
1957,Mahatma Gandhi Marg,1,Nill,-,Unmatched
1958,Punjabi Bag,1,Punjabi Bagh,141,Sub-Ward Match
1959,Sangambihar Holi Chok,1,Nill,-,Unmatched
1960,Gk-2,1,Greater Kailash II,15,Alias Match
1961,Jalvayu Vihar,1,Jasola Vihar,273,AI Match (80%)
1962,Gk -2,1,Greater Kailash II,15,Alias Match
1963,Udaypark,1,Nill,-,Unmatched
1964,Ncr Grugram,1,Nill,-,Unmatched
1965,Shree Ram Sharman,1,Nill,-,Unmatched
1966,Okhla Sabji Mandi,1,Okhla,287,Alias Match
1967,Cp Colony,1,Connaught Place,211,AI Match (100%)
1968,Qamaruddin Station,1,Nill,-,Unmatched
1969,Jamud Pur,1,Nill,-,Unmatched
1970,Airport (Delhi),1,Nill,-,Unmatched
1971,Modi Meal,1,Nill,-,Unmatched
1972,Aashram Aashram Mein,1,Nill,-,Unmatched
1973,Lajpat Nagar Vikaram Hotel,1,Lajpat Nagar,6,Alias Match
1974,Sarai Khale Kha Dblock,1,Nill,-,Unmatched
1975,Greater Class,1,Greater Kailash,9,AI Match (78%)
1976,Mandi Villag,1,Ali Village,283,AI Match (78%)
1977,South Sector,1,South Extension,12,AI Match (76%)
1978,Gk 1 C Block,1,Greater Kailash I,9,Alias Match
1979,South Extansion,1,South Extension,12,AI Match (93%)
1980,Subdarjan,1,Nill,-,Unmatched
1981,Nehru Place For,1,Nehru Place,13,Alias Match
1982,Sarai Khale Kha,1,Nill,-,Unmatched
1983,Diwarika,1,Dwarka,246,AI Match (85%)
1984,Mulchan,1,Nill,-,Unmatched
1985,Gateer Kelash,1,Greater Kailash,9,AI Match (78%)
1986,New Friens Colony,1,New Friends Colony,14,AI Match (97%)
1987,Uttam Vihar,1,Nill,-,Unmatched
1988,Kushal Jain,1,Nill,-,Unmatched
1989,Ahmed Colony,1,Amar Colony,6,AI Match (78%)
1990,Holi Family Hospital,1,Nill,-,Unmatched
1991,Mulchandar Matro Station,1,Nill,-,Unmatched
1992,Sayed Gaon,1,Nill,-,Unmatched
1993,Getter Kelash,1,Greater Kailash,9,AI Match (78%)
1994,Janjpur,1,Jiwanpur,60,AI Match (80%)
1995,Olkha Phase 1,1,Okhla Industrial Area Phase I,287,AI Match (92%)
1996,Mool,1,Nill,-,Unmatched
1997,Vinobpuri,1,Vinobapuri (Lajpat Nagar),3,AI Match (94%)
1998,Vikaram Hotel,1,Nill,-,Unmatched
1999,Gatter Kelash -1,1,Greater Kailash I,9,AI Match (81%)
2000,Aolirpot Bagdogar,1,Nill,-,Unmatched
2001,Noida Noida,1,Noida Noida,Outside,Outside Delhi
2002,South Exsataion,1,South Extension,12,AI Match (80%)
2003,Gurudwarpur Pur,1,Nill,-,Unmatched
2004,Ashram Me,1,Ashram Chowk,14,Alias Match
2005,Stop Kailashem,1,Nill,-,Unmatched
2006,Naraina Vihar,1,Naraina,204,Sub-Ward Match
2007,Kalak Ji,1,Nill,-,Unmatched
2008,Badarpur Road,1,Badarpur,283,Alias Match
2009,Tagore Garden,1,Tagore Garden,198,Alias Match
2010,Sabdarjanganj,1,Nill,-,Unmatched
2011,Madan Dairy,1,Nill,-,Unmatched
2012,Dayan Nand Colani,1,Dayanand Colony,6,AI Match (81%)
2013,Rajorai Garden,1,Rajouri Garden,185,AI Match (92%)
2014,Chirag Y,1,Chirag Delhi,14,AI Match (85%)
2015,Saket Cort,1,Saket,16,Alias Match
2016,Hauzkhas,1,Hauz Khas,8,AI Match (94%)
2017,Noida Monthly,1,Noida Monthly,Outside,Outside Delhi
2018,Haryana Kulana,1,Haryana Kulana,Outside,Outside Delhi
2019,Stop Class,1,Nill,-,Unmatched
2020,Tara Apartment,1,Nill,-,Unmatched
2021,Aligarh,1,Nill,-,Unmatched
2022,Shrinivaspuri,1,Nill,-,Unmatched
2023,Gadi,1,Nill,-,Unmatched
2024,Summer Field,1,Nill,-,Unmatched
2025,East Kailash,1,East Of Kailash,10,AI Match (100%)
2026,Greeter Kelash,1,Greater Kailash,9,AI Match (82%)
2027,Blue Berry School,1,Nill,-,Unmatched
2028,Samrudpur,1,Nill,-,Unmatched
2029,Kailashpur Market,1,Nill,-,Unmatched
2030,Bawal,1,Nill,-,Unmatched
2031,South Extension Grocery Items,1,South Extension,12,Alias Match
2032,Madava,1,Nill,-,Unmatched
2033,Madhu Vihar,1,Madhu Vihar,235,Exact Ward Match
2034,Ashrama,1,Ashram Chowk,14,AI Match (92%)
2035,Tughlaka Baad,1,Nill,-,Unmatched
2036,Cng Pump Gajipur,1,Nill,-,Unmatched
2037,Noida Sector 36,1,Noida Sector 36,Outside,Outside Delhi
2038,Gk 1 N Block Market,1,Greater Kailash I,9,Alias Match
2039,Moolchand Metro4-,1,Nill,-,Unmatched
2040,Chirag Thank You,1,Nill,-,Unmatched
2041,Narela,1,Narela,17,Alias Match
2042,Dwarka Mor,1,Dwarka Mor,246,Alias Match
2043,Noida Sector 52,1,Noida Sector 52,Outside,Outside Delhi
2044,Chirag Pur,1,Dhir Pur,51,AI Match (77%)
2045,Iscon Temple,1,Nill,-,Unmatched
2046,Nagar Chowk Gajipur,1,Nill,-,Unmatched
2047,Giri Nagar,1,Kirti Nagar,160,AI Match (85%)
2048,Surajpur,1,Nill,-,Unmatched
2049,Gajipur Village,1,Khanpur Village,26,AI Match (80%)
2050,Haldi Ram Hotel Lajpat Nagar,1,Lajpat Nagar,6,Alias Match
2051,Jawahar Gate Gajiabad,1,Nill,-,Unmatched
2052,Mulchand Metro,1,Nill,-,Unmatched
2053,Tcre Bus Stand,1,Nill,-,Unmatched
2054,Greek Park,1,Green Park,8,AI Match (90%)
2055,Metro Station 15 Sector 2,1,Nill,-,Unmatched
2056,Modi Mill,1,Nill,-,Unmatched
2057,Soni Service Centre Lajpat Nagar,1,Lajpat Nagar,6,Alias Match
2058,Gajipur Ganga Ghat,1,Nill,-,Unmatched
2059,Modi Mil,1,Nill,-,Unmatched
2060,Deep Park,1,Nill,-,Unmatched
2061,Sector 7 Noida,1,Sector 7 Noida,Outside,Outside Delhi
2062,Jairam Ashram Lajpat Nagar,1,Lajpat Nagar,6,Alias Match
2063,Gajipur,1,Wajirpur,108,AI Match (80%)
2064,Mehrauli Job,1,Mehrauli,278,Alias Match
2065,Ashok Nagar Noida,1,Ashok Nagar Noida,Outside,Outside Delhi
2066,Dhola Kuaa,1,Dhaula Kuan,215,AI Match (76%)
2067,Mayuri Ghat,1,Nill,-,Unmatched
2068,Sidharth Vihar Noida,1,Sidharth Vihar Noida,Outside,Outside Delhi
2069,Dlf Phase 2 Gurgaon,1,Dlf Phase 2 Gurgaon,Outside,Outside Delhi
2070,Seikh Sarai,1,Sheikh Sarai,11,AI Match (95%)
2071,Lajpat Nagar Service Centre,1,Lajpat Nagar,6,Alias Match
2072,Defance Colony,1,Defence Colony,14,AI Match (92%)
2073,Smailpur,1,Madipur,136,AI Match (80%)
2074,Gk One,1,Greater Kailash,9,AI Match (100%)
2075,Rashtrapati Parliament,1,Nill,-,Unmatched
2076,Sector 62 Noida Hotel Surya Place,1,Sector 62 Noida Hotel Surya Place,Outside,Outside Delhi
2077,Chrag Delhi,1,Chirag Delhi,14,AI Match (95%)
2078,Noida Sector 10,1,Noida Sector 10,Outside,Outside Delhi
2079,Geeta Colony Noida,1,Geeta Colony Noida,Outside,Outside Delhi
2080,Sarup Nagar,1,Sant Nagar (East of Kailash),10,AI Match (76%)
2081,Old Faridabad,1,Old Faridabad,Outside,Outside Delhi
2082,Allen Coaching Centre Lajpat,1,Lajpat Nagar,6,Alias Match
2083,Noida Sector 130,1,Noida Sector 130,Outside,Outside Delhi
2084,Nehar Place,1,Nehru Place,13,AI Match (90%)
2085,Nehru Place Delhi Jana Hai Na,1,Nehru Place,13,Alias Match
2086,Asharam,1,Ashram Chowk,14,AI Match (92%)
2087,Tirlok Puri,1,Trilok Puri,242,AI Match (90%)
2088,Nagar Sector 5,1,Nill,-,Unmatched
2089,Kashna Pari Chowk,1,Nill,-,Unmatched
2090,"Madanpur Khadar J.J. Colony,",1,Madanpur Khadar,283,Alias Match
2091,Indian Cares Clinic Lajpat Nagar,1,Lajpat Nagar,6,Alias Match
2092,Oyo Hotel Nijamuddin Near India Gate,1,Nill,-,Unmatched
2093,Nijamuddin Near India Gate,1,Nill,-,Unmatched
2094,Kitwai Nagar,1,Kidwai Nagar,213,AI Match (91%)
2095,Dwarika Mod,1,Dwarka Mor,246,AI Match (85%)
2096,Mubarak Pur Crossing,1,Nill,-,Unmatched
2097,Patel Nagar Gajiyabad,1,Patel Nagar,182,Alias Match
2098,Devli Thank You,1,Deoli,26,Alias Match
2099,Anand Lok,1,Nill,-,Unmatched
2100,Vinoba Puri Nehru Nagar,1,Nill,-,Unmatched
2101,Haldiram,1,Nill,-,Unmatched
2102,Gazipur Village,1,Khanpur Village,26,AI Match (80%)
2103,Katevara Village,1,Ali Village,283,AI Match (77%)
2104,Noida Sector 22,1,Noida Sector 22,Outside,Outside Delhi
2105,Karkardooma,1,Nill,-,Unmatched
2106,Noida Sector 60,1,Noida Sector 60,Outside,Outside Delhi
2107,Kalikaji Mandir,1,Nill,-,Unmatched
2108,Shahdar Sagar North Delhi,1,Nill,-,Unmatched
2109,Naya Bajar,1,Nill,-,Unmatched
2110,Gajipur Noida,1,Gajipur Noida,Outside,Outside Delhi
2111,Rampuri,1,Rampura,123,AI Match (85%)
2112,Gokalpuri,1,Gokalpur,72,Sub-Ward Match
2113,Bakarwala J J Colony,1,INA Colony,213,AI Match (75%)
2114,Padh Padh Ganj,1,Pahar Ganj,184,AI Match (84%)
2115,Ghaziabad Yard,1,Ghaziabad Yard,Outside,Outside Delhi
2116,Red K Velvet Hotel Gajiyabad,1,Nill,-,Unmatched
2117,Sec 14 Noida,1,Sec 14 Noida,Outside,Outside Delhi
2118,"Dda Flats, Kalika Ji Alaknanda",1,Alaknanda,15,Alias Match
2119,Sarai Kale Khan Nizamuddin,1,Hazrat Nizamuddin,14,Alias Match
2120,Highlane Comedy Club Gajiyabad,1,Nill,-,Unmatched
2121,Jetpur,1,Jaitpur,282,AI Match (76%)
2122,Dhadar,1,Nill,-,Unmatched
2123,Parparganj,1,Patparganj,229,AI Match (90%)
2124,Jailpur,1,Jaitpur,282,AI Match (85%)
2125,Sket,1,Saket,16,AI Match (88%)
2126,Tigaon,1,Nill,-,Unmatched
2127,Pheladpur,1,Nill,-,Unmatched
2128,Kanpur Faridabad,1,Kanpur Faridabad,Outside,Outside Delhi
2129,Sainik Farm Colony,1,INA Colony,213,AI Match (75%)
2130,Molarband,1,Molarband,283,Alias Match
2131,"Noida Sector 32,",1,Noida Sector 32,Outside,Outside Delhi
2132,Baghola,1,Nill,-,Unmatched
2133,Virat Cinema Crossing,1,Nill,-,Unmatched
2134,Jabahar Lal Nehru Stadium Terminal,1,Nill,-,Unmatched
2135,Nanakpura,1,Nanak Pura,259,AI Match (94%)
2136,Khichdipur,1,Khichripur,225,AI Match (90%)
2137,Noida Sector 104,1,Noida Sector 104,Outside,Outside Delhi
2138,Kailas Colony,1,Kailash Colony,9,AI Match (96%)
2139,Chhaprula Gajiyabad,1,Nill,-,Unmatched
2140,Ashok Nagar Market,1,Ashok Nagar,84,Sub-Ward Match
2141,Indra Puram,1,R.K. Puram,216,AI Match (76%)
2142,Mdhan Gate,1,Nill,-,Unmatched
2143,Suraj Pur,1,Nill,-,Unmatched
2144,Santi Nikunj Pitampura,1,Pitampura,66,Alias Match
2145,Noida Sector 120,1,Noida Sector 120,Outside,Outside Delhi
2146,Mansarovar,1,Nill,-,Unmatched
2147,Naheru Place Terminal,1,Nill,-,Unmatched
2148,Dilli Haat Ina,1,INA Colony / Market,213,Alias Match
2149,Noida Sector 58,1,Noida Sector 58,Outside,Outside Delhi
2150,Rohini Sector 12,1,Rohini,44,Alias Match
2151,Kale Khan,1,Nill,-,Unmatched
2152,New Ashok Nagar,1,New Ashok Nagar,245,Exact Ward Match
2153,Suriya Nagar,1,Kasturba Nagar,254,AI Match (76%)
2154,Badar Pur,1,Badar Pur,284,Exact Ward Match
2155,Kalkaji (Alaknanda),1,Kalkaji,13,Alias Match
2156,Dwarka Sec 2,1,Dwarka,246,Alias Match
2157,Nizamuddin Near By India Gate,1,Hazrat Nizamuddin,14,Alias Match
2158,Nange Nagri,1,Nand Nagri,88,AI Match (85%)
2159,Noida Sector 17,1,Noida Sector 17,Outside,Outside Delhi
2160,Vasundhara Ghaziabad,1,Vasundhara Ghaziabad,Outside,Outside Delhi
2161,Lalganj,1,Malkaganj,130,AI Match (75%)
2162,Loni Ghaziabad Uttar Pradesh,1,Loni Ghaziabad Uttar Pradesh,Outside,Outside Delhi
2163,Rishikesh,1,Nill,-,Unmatched
2164,Dadari,1,Nill,-,Unmatched
2165,Nagar Terminal,1,Tri Nagar,126,AI Match (78%)
2166,Sunny Bihar,1,Nill,-,Unmatched
2167,Mandan Giri,1,Nill,-,Unmatched
2168,Lado Place,1,Nill,-,Unmatched
2169,Lado Sarai F Firni Road,1,Nill,-,Unmatched
2170,Radisson Hotel,1,Nill,-,Unmatched
2171,Sarita Vihar K Block,1,Sarita Vihar,273,Alias Match
2172,Getter Kelash Phase -1,1,Nill,-,Unmatched
2173,Pushap Vihar,1,Pushp Vihar,19,AI Match (95%)
2174,Noida Sector 32 Terminal,1,Noida Sector 32 Terminal,Outside,Outside Delhi
2175,Tehkhand,1,Tekhand,279,AI Match (93%)
2176,Khanpur Market Empty,1,Khanpur,26,Alias Match
2177,Ambedkar Nagar Sector 4 (Virat Cinema),1,Ambedkar Nagar,18,Alias Match
2178,Rangpur,1,Nill,-,Unmatched
2179,Lado Sarai Firini Road,1,Nill,-,Unmatched
2180,Krishna Park,1,Krishna  Nagar,154,AI Match (80%)
2181,Faridabad Sector 16,1,Faridabad Sector 16,Outside,Outside Delhi
2182,North Point,1,Rohini North,43,AI Match (78%)
2183,Sheetala Mandirgurugram,1,Nill,-,Unmatched
2184,Shahbad,1,Nill,-,Unmatched
2185,Shahbad Mohammad Pur Village,1,Ali Village,283,AI Match (77%)
2186,Madipur,1,Madipur,136,Exact Ward Match
2187,Indira Gandhi Ou Road,1,Nill,-,Unmatched
2188,Arjangarh Metro Station,1,Nill,-,Unmatched
2189,Maruti Kunj(Gurgaon),1,Maruti Kunj Gurgaon,Outside,Outside Delhi
2190,Noida Sec -32,1,Noida Sec 32,Outside,Outside Delhi
2191,Palam Vihar (Gurugram),1,Palam Vihar Gurugram,Outside,Outside Delhi
2192,Kapashera Border Badarpur Border,1,Badarpur Border,283,Alias Match
2193,Fazal Enclave,1,Abul Fazal Enclave,273,AI Match (100%)
2194,Jashol Vihar,1,Jasola Vihar,273,AI Match (91%)
2195,Lado Sarai Karni Road,1,Nill,-,Unmatched
2196,Shahbad Mohammadpur Village,1,Ali Village,283,AI Match (77%)
2197,Kishan Garh,1,Kishan Ganj,143,AI Match (81%)
2198,Sanjay Van,1,Nill,-,Unmatched
2199,Dda Flats Kalkaji Alaknanda,1,Alaknanda,15,Alias Match
2200,Sri Niwas Puri,1,Sri Niwaspuri,266,AI Match (96%)
2201,Igi Airport T 2,1,Nill,-,Unmatched
2202,Fatehpur Sikri,1,Nill,-,Unmatched
2203,Gateer Kelash Phase 1,1,Nill,-,Unmatched
2204,Rajender Nagar,1,Rajender Nagar,190,Exact Ward Match
2205,Sector 53,1,Vasant Kunj Sector A,274,AI Match (80%)
2206,Humdard Nager,1,Nill,-,Unmatched
2207,Shahbad Mohammad Puri Village,1,Ali Village,283,AI Match (77%)
2208,Kishangarh,1,Kishangarh,283,Exact Ward Match
2209,Bijwasan,1,Bijwasan,271,Exact Ward Match
2210,Gatter Kelash Phase -2,1,Nill,-,Unmatched
2211,Arjan Garh Metro Station,1,Nill,-,Unmatched
2212,Sanik School,1,Nill,-,Unmatched
2213,Lado Sarani Firni Road,1,Nill,-,Unmatched
2214,Igi T2,1,Nill,-,Unmatched
2215,Vathura Hospital,1,Nill,-,Unmatched
2216,Rohini Sector 16,1,Rohini,44,Alias Match
2217,Badarpur Mb Road,1,Badarpur,283,Alias Match
2218,Rajiv Gandhi Stadium,1,Nill,-,Unmatched
2219,Suraj Kuand,1,Nill,-,Unmatched
2220,Shayam Kunj (Gurugram),1,Shayam Kunj Gurugram,Outside,Outside Delhi
2221,Load Sarai Firni Road,1,Nill,-,Unmatched
2222,Minto Road Terminal,1,Minto Road,192,Alias Match
2223,Suraj Kund,1,Nill,-,Unmatched
2224,Badalpur Border,1,Badarpur Border,283,AI Match (93%)
2225,Jamia Hamdard,1,Jamia Millia Islamia,273,Alias Match
2226,Raju Par,1,Nill,-,Unmatched
2227,Piyush Vihar,1,Pushp Vihar,19,AI Match (86%)
2228,Sargam,1,Nill,-,Unmatched
2229,Kanta Chowk,1,Nill,-,Unmatched
2230,Tehkhand Village,1,Ali Village,283,AI Match (77%)
2231,Nehru Park,1,Nehru Place,13,AI Match (76%)
2232,Seva Nagar Railway Station,1,New Delhi Railway Station,182,AI Match (75%)
2233,Lado Sarai Terminal,1,Nill,-,Unmatched
2234,Saini Form,1,Nill,-,Unmatched
2235,Surajkunda,1,Nill,-,Unmatched
2236,Doctor Karni Singh Southing Range,1,Nill,-,Unmatched
2237,An Blok Markat,1,Nill,-,Unmatched
2238,Lodi Kaloni,1,Nill,-,Unmatched
2239,Vihar,1,Yamuna Vihar,76,Sub-Ward Match
2240,Jiban Hospital,1,Nill,-,Unmatched
2241,Sundar Vihar,1,Sonia Vihar,46,AI Match (78%)
2242,Sakit Kot,1,Nill,-,Unmatched
2243,Gokul Puri,1,Gokalpur,72,AI Match (77%)
2244,Sundar Nagr,1,Sunder Nagar,212,AI Match (86%)
2245,Badarpur Delhi Abdullah कभी-कभी Kya Malish Mein Kya Hai Furniture,1,Badarpur,283,Alias Match
2246,Prakriti Maidan,1,Nill,-,Unmatched
2247,Anna Nagar,1,Aya Nagar,294,AI Match (84%)
2248,Indira Gandhi Arena,1,Nill,-,Unmatched
2249,Mukhya Jhil Rajghat,1,Nill,-,Unmatched
2250,Shantivan,1,Nill,-,Unmatched
2251,G Block,1,Nill,-,Unmatched
2252,Nijamuddin Railway Station,1,Hazrat Nizamuddin Railway Station,14,AI Match (96%)
2253,Kriti Nagar,1,Kirti Nagar,160,AI Match (90%)
2254,Drain,1,Nill,-,Unmatched
2255,Shri Shiv Mandir,1,Nill,-,Unmatched
2256,Gautampuri,1,Nill,-,Unmatched
2257,Kelas Nagar,1,Kamla Nagar,124,AI Match (81%)
2258,Dhoula Kua Delhi,1,Nill,-,Unmatched
2259,Khanpur Dani,1,Khanpur,26,Alias Match
2260,Bhagya Rathi Bihar,1,Nill,-,Unmatched
2261,Name Sarai,1,Nill,-,Unmatched
2262,Kaya Maya Hospital,1,Nill,-,Unmatched
2263,Gokhala,1,Okhla,268,AI Match (83%)
2264,Subhash Vihar,1,Harsh Vihar,68,AI Match (83%)
2265,Sib Bihar,1,Nill,-,Unmatched
2266,Modl Park,1,Nill,-,Unmatched
2267,Sundar Nursri,1,Nill,-,Unmatched
2268,Sundr Nagr,1,Sunder Nagar,212,AI Match (90%)
2269,Sarojini Nagar Depot,1,Sarojini Nagar,213,Alias Match
2270,Rani Ramgarh Marg,1,Nill,-,Unmatched
2271,Sector 48 Noida,1,Sector 48 Noida,Outside,Outside Delhi
2272,Taimur Nagar,1,Zakir Nagar,261,AI Match (78%)
2273,Okhla Phase,1,Okhla,287,Alias Match
2274,Nallah,1,Nill,-,Unmatched
2275,Ohlka,1,Okhla,268,AI Match (80%)
2276,Bharatpur Border,1,Badarpur Border,283,AI Match (83%)
2277,Surajpur Noida,1,Surajpur Noida,Outside,Outside Delhi
2278,Hamdad Nagar,1,Azad Nagar,142,AI Match (81%)
2279,Mehrauli Madarpur Marg,1,Mehrauli,278,Alias Match
2280,Mhroli,1,Gharoli,217,AI Match (76%)
2281,Firni Road Terminal,1,Nill,-,Unmatched
2282,Sabha Pur Village,1,Ali Village,283,AI Match (77%)
2283,Gurgaon Sector 52,1,Gurgaon Sector 52,Outside,Outside Delhi
2284,Sangam Vihar Dda Park,1,Sangam Vihar,292,Alias Match
2285,Vayusenabad,1,Nill,-,Unmatched
2286,Dr Ambedkar Park,1,Nill,-,Unmatched
2287,Gurgaon Sector 9,1,Gurgaon Sector 9,Outside,Outside Delhi
2288,Gurugram Sector 62,1,Gurugram Sector 62,Outside,Outside Delhi
2289,Rps Colony,1,Amar Colony,6,AI Match (76%)
2290,Doctor Ambedkar Park,1,Nill,-,Unmatched
2291,Yatharth Super Speciality Hospital Noida 110,1,Yatharth Super Speciality Hospital Noida 110,Outside,Outside Delhi
2292,Deoli Gaon Nai Basti,1,Deoli,26,Alias Match
2293,Hridoy,1,Nill,-,Unmatched
2294,Seth Sarai,1,Sheikh Sarai,11,AI Match (81%)
