Sr. No.,OD,Count,Corrected OD,Zone No,Match Status
445,Bahadurpur Border,4,Badarpur Border,283,AI Match (87%)
446,Mandi Gaon,4,Nill,-,Unmatched
447,Panchsheel Park Delhi,4,Panchsheel Park,11,Alias Match
448,Bilaspur,4,Bindapur,227,AI Match (75%)
449,Saket Delhi,4,Saket,16,Alias Match
450,Pushp Bhavan,4,Nill,-,Unmatched
451,Mahipal Pur,4,Mahipalpur,277,AI Match (95%)
452,Pansheel Park,4,Panchsheel Park,11,AI Match (92%)
453,Jal Vihar,4,Jasola Vihar,273,AI Match (85%)
454,Mulchand Metro Station,4,Nill,-,Unmatched
455,Dayanand Colony,4,Dayanand Colony,6,Alias Match
456,Dhaula Kua,4,Dhaula Kuan,215,AI Match (95%)
457,Shadra,4,Shahdara,135,AI Match (85%)
458,Noida Sector 15,4,Noida Sector 15,Outside,Outside Delhi
459,Mayur Vihar Colony,4,Mayur Vihar,234,Alias Match
460,Bhati Mines Terminal,4,Bhati,295,Sub-Ward Match
461,Hariyana,4,Nill,-,Unmatched
462,Safdarganj,4,Nill,-,Unmatched
463,Kamla Market,4,Khan Market,212,AI Match (78%)
464,Maruti Kunj (Gurgaon),3,Maruti Kunj Gurgaon,Outside,Outside Delhi
465,"Kalka Ji, Delhi",3,Nill,-,Unmatched
466,Meerut,3,Meerut,Outside,Outside Delhi
